ID;Nome Completo;Idade;CPF;Sexo;Estado Civil;E-mail;Telefone;Cidade;Estado;Marca;Modelo;Ano_fabricacao;Cor;Valor_venda;Data_venda;Forma_pagamento
9534;Maria Cecília Azevedo;37;157.096.284-76;Feminino;Divorciado;jda-luz@example.com;11 1327 5329;Monteiro;MS;Toyota;Corolla Cross;2014;Branco;209591.29;2017-06-15;À vista
9535;Vitor Gabriel Almeida;62;305.189.647-01;Masculino;Casado;macedoana-livia@example.net;+55 (061) 8773 5239;Costa do Amparo;SE;Toyota;Etios;2015;Cinza;119269.66;2019-05-13;Financiamento
9536;Bianca Cassiano;69;940.152.367-34;Feminino;Solteiro;ana-clarasiqueira@example.org;(021) 0158-9281;da Cruz de Novaes;RS;Hyundai;Tucson;2021;Prata;160482.61;2020-01-17;Financiamento
9537;Maria Liz Gomes;39;861.542.973-19;Feminino;Divorciado;emanuel02@example.com;61 5527-0050;Pastor;PR;Volskwagen;Gol;2021;Vermelho;60070.25;2023-09-03;Consórcio
9538;Breno Camargo;49;704.583.921-97;Masculino;Viúvo;maria-eduarda28@example.com;+55 84 8814 7775;Correia do Galho;MG;Volskwagen;T-Cross;2023;Cinza;207548.44;2025-03-28;Financiamento
9539;Júlia Barbosa;25;061.497.538-75;Feminino;Viúvo;ana-ceciliajesus@example.net;+55 51 6475 7857;Fogaça das Flores;AP;Peugeot;308;2019;Prata;181145.79;2024-02-24;À vista
9540;Brenda Sales;24;956.203.487-92;Feminino;Divorciado;rebecada-rosa@example.com;+55 (021) 2261 2939;Sampaio do Galho;ES;Volskwagen;Saveiro;2017;Branco;78450.58;2022-10-03;À vista
9541;Thales Sousa;46;809.761.243-78;Masculino;Divorciado;costelacarolina@example.net;(084) 5768 6645;Jesus;RS;Citroen;Aircross;2019;Vermelho;59274.79;2021-04-01;Consórcio
9542;Apollo da Mata;61;754.920.613-99;Masculino;Solteiro;enzoda-mata@example.com;(061) 7572 7995;Nogueira da Serra;SP;Peugeot;2008;2014;Cinza;108984.92;2025-01-12;Financiamento
9543;Sabrina da Mata;57;372.916.054-07;Feminino;Solteiro;maria-sophianogueira@example.org;(031) 9806 5975;Monteiro do Oeste;GO;Honda;City;2015;Cinza;117300.8;2022-07-26;Financiamento
9544;Thales Ribeiro;22;270.938.654-29;Masculino;Casado;luara03@example.org;21 7724 5266;Novaes;PI;Ford;Ka Sedan;2018;Prata;224103.53;2021-01-16;Consórcio
9545;Ana Júlia da Rosa;38;120.348.756-80;Feminino;Solteiro;luiz-henrique99@example.com;+55 84 4110-8675;Lima do Sul;RN;Ford;Ecosport;2022;Verde;89476.31;2018-04-01;Consórcio
9546;Vitória Fogaça;66;236.401.857-90;Feminino;Divorciado;correiarael@example.com;(011) 0779-6809;Pastor;MT;Honda;Fit;2017;Preto;71000.35;2022-09-02;Consórcio
9547;José Miguel da Paz;27;923.576.180-86;Masculino;Solteiro;ayllasa@example.net;+55 31 7696-0736;Fonseca de Oliveira;PI;Peugeot;208;2018;Prata;217027.91;2023-02-17;À vista
9548;Francisco Vasconcelos;43;389.012.574-32;Masculino;Solteiro;breno96@example.com;+55 41 0914 8725;Moreira;GO;Volskwagen;Gol;2017;Branco;216815.2;2018-01-17;À vista
9549;Esther Nogueira;41;513.026.498-33;Feminino;Solteiro;diasvitoria@example.com;+55 51 3436 9153;Sá;MS;Ford;Ecosport;2014;Branco;170275.82;2018-04-07;À vista
9550;Stella Pimenta;65;815.094.736-10;Feminino;Viúvo;bribeiro@example.com;31 1594-8101;Viana;AL;Citroen;C3;2016;Vermelho;219432.83;2021-07-21;Consórcio
9551;Breno Teixeira;34;089.754.361-01;Masculino;Viúvo;da-motamelina@example.com;+55 (021) 5339-0276;Freitas de Minas;MA;Peugeot;208;2015;Branco;171960.22;2017-12-29;Financiamento
9552;Benjamim Abreu;56;597.081.643-48;Masculino;Viúvo;davi-miguel97@example.com;(031) 7713-3848;Albuquerque do Sul;BA;Peugeot;208;2015;Vermelho;51740.52;2018-12-23;À vista
9553;Clarice Moura;27;374.015.269-99;Feminino;Casado;aparecidavinicius@example.net;+55 (031) 1621 3752;Sá do Amparo;PR;Peugeot;2008;2020;Cinza;160467.41;2017-08-14;Financiamento
9554;Joaquim Duarte;55;718.503.629-12;Masculino;Solteiro;valentimpires@example.com;0300 515 3584;Pereira de Pires;MG;Ford;Focus;2016;Vermelho;180665.82;2022-10-01;À vista
9555;Nathan Sales;35;985.632.701-68;Masculino;Divorciado;nataliacavalcanti@example.com;71 7099 2721;Albuquerque da Serra;AP;Ford;Territory;2021;Branco;105201.84;2019-10-11;À vista
9556;Maitê Duarte;64;697.081.532-30;Feminino;Casado;ununes@example.net;(084) 7838-2684;da Conceição Paulista;MS;Toyota;Hilux;2016;Cinza;170901.69;2022-04-06;Financiamento
9557;Sofia da Paz;69;320.594.817-32;Feminino;Solteiro;wmarques@example.net;51 7561 0137;Rocha;AM;Volskwagen;Nivus;2020;Verde;125809.36;2022-06-14;Consórcio
9558;Pedro Miguel Marques;65;395.712.048-97;Masculino;Solteiro;carlos-eduardopires@example.net;81 3894-9800;Siqueira de Ribeiro;AM;Toyota;Etios;2020;Prata;175563.17;2019-03-28;Financiamento
9559;Mariane Souza;43;628.901.457-94;Feminino;Viúvo;camargovinicius@example.net;+55 (061) 1123-8775;Vasconcelos;RR;Toyota;Hilux;2021;Vermelho;212341.94;2020-07-13;À vista
9560;Guilherme Pereira;61;548.216.309-15;Masculino;Casado;oliver36@example.com;0300-841-5593;Sales de Ramos;RO;Chevrolet;Onix;2018;Cinza;158793.19;2023-01-25;À vista
9561;Dom Moura;44;547.293.610-16;Masculino;Solteiro;thomas79@example.net;+55 61 8702 2878;Machado de Vasconcelos;PA;Ford;Ka;2023;Prata;142987.16;2022-06-04;Consórcio
9562;Fernando Andrade;69;492.173.568-91;Masculino;Solteiro;pintoana-cecilia@example.com;+55 51 0274 6036;Moreira Verde;ES;Toyota;Hilux;2023;Cinza;192193.02;2019-08-18;Consórcio
9563;Nathan Silveira;41;310.427.958-60;Masculino;Viúvo;erickcosta@example.net;+55 (051) 6364 1347;Oliveira do Amparo;BA;Hyundai;HB20S;2014;Cinza;95760.95;2019-09-11;Consórcio
9564;Eduarda Ribeiro;42;538.674.210-80;Feminino;Casado;aliciamartins@example.org;+55 84 5555-6460;Cassiano;ES;Peugeot;2008;2023;Branco;150795.57;2022-05-28;Financiamento
9565;Augusto Freitas;31;837.049.516-84;Masculino;Divorciado;duarteisis@example.com;+55 (071) 0744 9334;Borges;PR;Volskwagen;T-Cross;2021;Preto;233594.83;2017-08-11;Consórcio
9566;Juan Gomes;31;016.295.437-99;Masculino;Divorciado;jose-miguel29@example.com;+55 11 9427 7637;da Costa Paulista;CE;Honda;CR-V;2023;Branco;153005.33;2019-03-22;À vista
9567;Pedro Miguel Abreu;64;432.905.167-25;Masculino;Solteiro;bandrade@example.com;41 6125 8542;Cavalcanti de da Conceição;MG;Citroen;C4 Grand Picasso;2022;Branco;120529.72;2019-04-20;Financiamento
9568;Alana Montenegro;53;810.953.462-70;Feminino;Solteiro;vitor-gabriel50@example.org;+55 (061) 7893 6470;Costela;RN;Fiat;Toro;2021;Cinza;168279.86;2017-11-08;Leasing
9569;Valentim Cunha;49;208.396.741-04;Masculino;Casado;nascimentothales@example.org;+55 (081) 5911 1400;Alves;DF;Volskwagen;Amarok;2021;Preto;159183.45;2017-12-16;À vista
9570;Renan Rodrigues;65;741.056.298-67;Masculino;Solteiro;joao52@example.org;51 2820 6500;Andrade dos Dourados;RJ;Volskwagen;T-Cross;2014;Vermelho;33868.31;2019-05-11;Financiamento
9571;Sophie Andrade;63;279.483.501-79;Feminino;Solteiro;imendonca@example.com;+55 (051) 8897-6298;Almeida;AC;Peugeot;208;2022;Vermelho;96416.49;2023-10-31;À vista
9572;Eloah Vieira;45;617.584.039-93;Feminino;Divorciado;costamatteo@example.com;0800 611 7483;Campos de da Paz;PE;Volskwagen;T-Cross;2021;Vermelho;46431.81;2023-11-04;Financiamento
9573;Luísa Nascimento;21;897.652.431-46;Feminino;Casado;nunesyago@example.com;0800-073-1377;Mendes de Minas;AC;Peugeot;Partner;2023;Branco;230491.47;2024-01-11;Consórcio
9574;Arthur Miguel Melo;67;865.139.740-20;Masculino;Viúvo;enrico70@example.net;51 5842 4397;Cardoso;CE;Peugeot;2008;2013;Vermelho;128851.08;2022-04-21;Financiamento
9575;Henry Gabriel Cassiano;18;052.983.467-74;Masculino;Divorciado;da-conceicaosarah@example.net;(071) 0571 0381;Ramos da Serra;BA;Toyota;Hilux;2017;Cinza;69050.84;2017-10-08;Consórcio
9576;Sophie Sampaio;41;674.951.208-94;Feminino;Solteiro;maria-luisa61@example.com;41 1933 5012;Gonçalves;SP;Peugeot;308;2015;Verde;56846.67;2024-04-13;Consórcio
9577;João Pedro Silva;52;596.408.317-00;Masculino;Casado;tmendonca@example.org;+55 (084) 8938-8411;Cardoso das Pedras;PI;Hyundai;Creta;2014;Branco;140328.47;2017-06-14;À vista
9578;Bella Gonçalves;32;345.096.872-65;Feminino;Divorciado;camilaaraujo@example.org;+55 (081) 3191-0972;Aparecida de Porto;AP;Honda;Civic;2019;Preto;248009.99;2019-07-05;Financiamento
9579;Julia Abreu;60;715.036.849-20;Feminino;Casado;davida-costa@example.com;41 1688-8124;Carvalho Verde;DF;Peugeot;Partner;2021;Prata;249558.77;2020-06-05;Consórcio
9580;Rafael Azevedo;41;730.291.645-43;Masculino;Casado;raul65@example.net;+55 71 9369-3359;Camargo;RR;Peugeot;308;2019;Branco;51774.66;2019-11-24;Financiamento
9581;José Pedro Borges;42;183.457.926-00;Masculino;Solteiro;luiz-otavioda-rocha@example.com;0800-500-3973;Mendonça;AP;Peugeot;Partner;2018;Branco;171271.01;2023-01-20;À vista
9582;Maria Clara Melo;34;834.129.507-50;Feminino;Divorciado;sarah55@example.com;0900-399-7339;Macedo;BA;Honda;HR-V;2022;Azul;140299.56;2021-11-12;Financiamento
9583;Lunna Lopes;56;243.981.570-50;Feminino;Viúvo;eda-rosa@example.org;+55 (041) 6386 7872;Garcia;AM;Jeep;Compass;2014;Branco;82013.66;2021-08-07;À vista
9584;Manuela Silveira;41;160.827.349-04;Feminino;Viúvo;vaparecida@example.net;0500-180-0909;Pastor de Freitas;MS;Toyota;Corolla;2022;Prata;52128.71;2021-10-16;À vista
9585;Brayan Gonçalves;56;682.510.794-11;Masculino;Viúvo;lopesmaria-alice@example.com;(041) 0645 8710;Sousa das Pedras;PB;Peugeot;3008;2023;Cinza;169832.03;2025-02-15;Financiamento
9586;Bianca Araújo;49;521.730.486-35;Feminino;Viúvo;svargas@example.net;71 4506 3402;Montenegro da Serra;MG;Fiat;Mobi;2016;Vermelho;175610.21;2017-09-03;À vista
9587;Vitória Pereira;49;097.153.628-77;Feminino;Solteiro;vinicius54@example.org;+55 41 0457-1449;Pires;PB;Hyundai;Creta;2014;Cinza;58478.17;2020-07-17;À vista
9588;Enzo Gabriel Correia;27;068.579.423-74;Masculino;Casado;lmarques@example.net;51 6388 6906;Cavalcanti;PA;Honda;CR-V;2020;Branco;209051.64;2020-08-22;Financiamento
9589;Ana Beatriz Cunha;25;284.916.735-55;Feminino;Divorciado;nathan50@example.net;+55 (041) 6623-6414;Câmara;PE;Volskwagen;Saveiro;2014;Azul;179272.76;2018-02-08;À vista
9590;Nina Vargas;49;104.276.359-34;Feminino;Casado;agatha11@example.org;11 6074-9894;Pereira;SE;Chevrolet;Prisma;2023;Verde;210723.14;2017-09-12;Financiamento
9591;Maria Isis Vieira;20;807.254.136-62;Feminino;Viúvo;emillycavalcanti@example.com;21 0070-6931;Novais de Rezende;PR;Ford;Territory;2017;Branco;191338.9;2023-06-28;Consórcio
9592;Alícia Nascimento;43;869.542.013-24;Feminino;Divorciado;caue37@example.org;+55 (031) 5173-3083;Pastor do Norte;DF;Peugeot;3008;2023;Azul;51506.4;2023-07-15;À vista
9593;Rafaela Peixoto;50;580.976.324-38;Feminino;Viúvo;julia22@example.org;+55 (051) 5867 5761;Mendonça;PB;Peugeot;3008;2017;Azul;41119.4;2017-08-16;Financiamento
9594;Bryan da Costa;36;184.650.937-84;Masculino;Viúvo;novaisliz@example.com;+55 81 0289 4345;Pinto;RJ;Ford;Ecosport;2013;Vermelho;142634.23;2021-12-27;À vista
9595;Aylla da Paz;51;951.468.037-57;Feminino;Divorciado;correialuan@example.org;+55 (011) 5693-6643;Lopes do Galho;AC;Fiat;Pulse;2016;Azul;167694.49;2020-04-14;À vista
9596;Bianca Machado;25;027.698.513-30;Feminino;Divorciado;mateusviana@example.com;+55 31 2854-8109;Campos da Mata;SC;Peugeot;2008;2021;Cinza;73509.47;2024-02-02;Consórcio
9597;João Pedro Duarte;19;901.748.632-50;Masculino;Divorciado;maria-cecilia49@example.net;+55 (021) 5280 9728;Souza de Vieira;BA;Ford;Focus;2021;Prata;141234.52;2018-07-21;Financiamento
9598;Sophia Vasconcelos;26;891.453.270-41;Feminino;Casado;wmoreira@example.org;0800-353-1339;Guerra;PB;Toyota;Corolla Cross;2020;Verde;85140.9;2025-02-02;Consórcio
9599;Marcos Vinicius Caldeira;56;697.041.258-01;Masculino;Casado;bsilva@example.net;71 7096-8145;Sales;CE;Honda;HR-V;2017;Preto;245044.69;2021-06-17;Financiamento
9600;Caleb Monteiro;70;160.978.235-68;Masculino;Viúvo;limajoao-gabriel@example.com;(021) 0235-2485;da Conceição das Pedras;RS;Honda;HR-V;2020;Azul;136948.46;2021-07-01;Consórcio
9601;Helena Almeida;49;461.937.582-91;Feminino;Divorciado;joao-vitor96@example.org;41 7723 1053;Nascimento;DF;Toyota;Camry;2019;Verde;247101.05;2019-01-10;À vista
9602;Ísis Costa;67;873.619.052-77;Feminino;Viúvo;agathamartins@example.org;(061) 6975-7939;Farias de Silveira;PA;Toyota;Corolla;2019;Azul;178434.76;2019-10-13;Financiamento
9603;Ester Moraes;40;451.690.782-85;Feminino;Solteiro;joao-guilhermesantos@example.org;(021) 9920 5739;Barros da Mata;AM;Toyota;Camry;2017;Cinza;224124.48;2024-06-13;À vista
9604;Pietro Caldeira;66;653.107.824-35;Masculino;Viúvo;hmoura@example.org;61 9090 9285;Gonçalves;PB;Fiat;Fiorino;2019;Branco;120362.33;2025-01-18;Financiamento
9605;Luan Lopes;25;423.760.918-96;Masculino;Divorciado;xda-mota@example.org;+55 81 3195 7838;Nogueira de Minas;RS;Peugeot;3008;2020;Azul;215031.92;2024-01-20;À vista
9606;Gael da Cruz;48;561.304.289-60;Masculino;Divorciado;ugomes@example.com;+55 81 2006 6478;Borges;SC;Ford;Territory;2022;Cinza;58490.08;2017-12-01;Financiamento
9607;Alice da Mata;40;179.856.034-84;Feminino;Casado;gabriela35@example.net;(071) 6198 1502;Pereira;SC;Honda;HR-V;2023;Branco;37510.48;2019-04-15;Financiamento
9608;Vitor Gabriel Nunes;38;764.935.012-61;Masculino;Casado;iaparecida@example.com;+55 (031) 9043-7889;Camargo do Norte;ES;Volskwagen;Gol;2017;Cinza;176490.11;2024-02-05;À vista
9609;Agatha Pimenta;21;053.891.274-04;Feminino;Casado;ypacheco@example.com;+55 61 8509-1781;Novaes de da Mata;RJ;Ford;Ka Sedan;2017;Branco;197476.07;2023-02-21;À vista
9610;Cauê Pereira;66;192.056.837-95;Masculino;Viúvo;calebnovaes@example.net;21 0509-9818;Azevedo;PA;Honda;Civic;2016;Preto;149588.61;2022-12-28;Financiamento
9611;Eloá Ferreira;61;706.391.854-01;Feminino;Viúvo;yago59@example.com;+55 (051) 1811 0379;da Mota de Minas;SE;Volskwagen;Voyage;2018;Prata;213969.24;2025-04-08;Financiamento
9612;João Felipe Aparecida;29;784.562.391-19;Masculino;Divorciado;bcostela@example.org;+55 84 7076 9546;da Rosa;MA;Peugeot;3008;2022;Preto;246097.09;2022-09-12;À vista
9613;Cauê Silveira;19;186.943.207-03;Masculino;Casado;melissamartins@example.net;31 3077 6731;Dias;PI;Toyota;Corolla;2013;Verde;101282.25;2022-01-30;Consórcio
9614;João Felipe Cavalcanti;45;091.476.352-07;Masculino;Viúvo;theo10@example.org;+55 81 0866 1555;Fernandes;TO;Peugeot;308;2021;Cinza;150082.53;2023-08-05;Financiamento
9615;Ravi Lucca Porto;42;307.295.164-07;Masculino;Viúvo;mathiassouza@example.org;(041) 0856 0793;Machado do Oeste;MT;Honda;Civic;2019;Prata;131584.08;2020-05-26;Financiamento
9616;Sara Machado;28;692.051.748-58;Feminino;Viúvo;mendoncaravi-lucca@example.com;0500-008-8867;Câmara;MS;Toyota;Hilux;2021;Vermelho;249551.46;2022-08-23;Consórcio
9617;Ravy Siqueira;40;964.057.231-43;Masculino;Casado;psousa@example.org;+55 31 1991-5126;Oliveira Paulista;RJ;Toyota;Hilux;2019;Azul;34234.62;2018-03-16;À vista
9618;Pedro Miguel Siqueira;62;801.723.459-79;Masculino;Casado;andradedavi-miguel@example.org;+55 21 5430 5171;da Conceição da Prata;RJ;Honda;CR-V;2019;Azul;140557.83;2017-07-14;Financiamento
9619;Stephany Correia;70;094.386.721-50;Feminino;Casado;carlos-eduardoda-costa@example.net;(071) 4851 3741;Vieira;PE;Honda;HR-V;2020;Branco;56333.23;2022-08-04;Financiamento
9620;Ravy Nogueira;54;273.968.501-77;Masculino;Divorciado;siqueirabeatriz@example.com;+55 31 0282 9462;Silveira dos Dourados;RN;Volskwagen;Gol;2015;Vermelho;180418.41;2019-01-01;Financiamento
9621;Joaquim da Mota;68;923.841.567-64;Masculino;Casado;enricosales@example.net;21 1168-8681;da Rosa;PR;Ford;Ka Sedan;2014;Branco;187472.65;2025-01-14;À vista
9622;Gustavo Henrique Azevedo;38;168.037.295-59;Masculino;Solteiro;luigi50@example.org;31 8375-8606;Sousa;RS;Peugeot;Partner;2017;Vermelho;65687.76;2023-10-26;Financiamento
9623;Thiago Sousa;70;940.285.176-30;Masculino;Viúvo;cassianobryan@example.com;0900-571-9507;Pinto;RS;Chevrolet;TrailBlazer;2014;Verde;55496.52;2019-06-28;Consórcio
9624;Allana da Mata;45;286.517.043-80;Feminino;Solteiro;moreiraallana@example.com;(041) 2106 1441;da Mata;PI;Toyota;Corolla;2013;Vermelho;190699.28;2025-03-19;À vista
9625;Mariana Camargo;27;019.453.278-04;Feminino;Casado;ymacedo@example.com;(021) 7696 7757;Nascimento de Silva;PR;Ford;Ka;2014;Verde;144220.67;2023-03-21;Financiamento
9626;Sara Marques;49;679.384.120-31;Feminino;Viúvo;novaismaria-liz@example.org;+55 81 2197 5197;da Rocha;RS;Peugeot;3008;2013;Cinza;58977.3;2022-03-28;À vista
9627;Henry Albuquerque;53;645.789.130-66;Masculino;Casado;anamelo@example.com;+55 (061) 8309-1447;Machado Verde;MA;Ford;Ka;2018;Branco;133248.44;2020-04-14;Financiamento
9628;Clarice Macedo;67;569.470.328-65;Feminino;Viúvo;castrocaroline@example.com;61 9277-8935;Garcia Paulista;RR;Ford;Ka;2015;Prata;32051.67;2022-09-27;Financiamento
9629;Maria da Luz;50;803.257.461-17;Feminino;Solteiro;ravi-lucca50@example.net;+55 21 0620 8022;Andrade;PA;Ford;Ranger;2023;Preto;99590.53;2019-01-06;À vista
9630;Olivia da Paz;67;986.310.754-93;Feminino;Divorciado;vitor-hugo37@example.org;(041) 7538 7585;Albuquerque das Flores;PR;Jeep;Cherokee;2019;Cinza;229803.15;2021-03-13;Leasing
9631;Maria Isis Sousa;35;764.398.120-50;Feminino;Divorciado;davi-luccasampaio@example.org;+55 21 8332 3991;Fonseca de Castro;MS;Fiat;Pulse;2017;Cinza;132981.48;2019-10-24;Consórcio
9632;Milena Silva;41;380.492.756-47;Feminino;Solteiro;hadassacarvalho@example.net;0500-103-8036;Carvalho da Mata;RO;Ford;Ka Sedan;2019;Branco;113261.98;2023-11-30;Leasing
9633;Heitor Brito;65;631.275.408-17;Masculino;Solteiro;nina82@example.org;+55 61 4647 7358;Porto;SP;Ford;Focus;2013;Branco;128830.13;2022-04-07;Financiamento
9634;Cecília Aragão;41;469.307.851-48;Feminino;Casado;alexiamendonca@example.com;+55 31 5294-8574;Aragão Paulista;PR;Chevrolet;S-10;2021;Preto;205746.24;2021-08-14;Consórcio
9635;Carlos Eduardo Melo;45;362.710.498-69;Masculino;Solteiro;brunacarvalho@example.org;0500 641 3172;Jesus de Goiás;RN;Toyota;Corolla;2016;Prata;179026.36;2018-06-19;Consórcio
9636;Vitor Hugo Rodrigues;70;856.942.317-91;Masculino;Viúvo;rezendeyasmin@example.net;+55 41 9769-8429;da Mota da Mata;SP;Fiat;Cronos;2020;Prata;50535.56;2022-10-09;Financiamento
9637;Natália da Rosa;27;413.928.670-96;Feminino;Solteiro;luana50@example.net;81 9388-8743;Alves;RO;Honda;City;2014;Vermelho;182795.76;2017-07-04;À vista
9638;Leonardo Siqueira;33;170.659.348-10;Masculino;Divorciado;lvargas@example.com;+55 81 0021 6075;Oliveira do Oeste;RJ;Peugeot;3008;2016;Verde;229791.43;2019-04-30;Financiamento
9639;Zoe Viana;25;429.367.180-31;Feminino;Divorciado;rhavida-cruz@example.com;0300 729 9327;Nascimento;BA;Toyota;Hilux;2016;Cinza;237046.72;2017-05-17;Financiamento
9640;Benicio Rocha;22;509.781.243-32;Masculino;Divorciado;fcostela@example.org;+55 (061) 7381 4652;Moraes do Amparo;AL;Honda;CR-V;2013;Preto;222954.86;2017-09-14;Consórcio
9641;Luiza Oliveira;26;764.598.021-49;Feminino;Casado;mendespietra@example.com;+55 (084) 0292 4756;Gomes do Amparo;AM;Hyundai;Tucson;2020;Preto;129986.59;2025-02-06;À vista
9642;Ísis Cardoso;35;547.830.912-50;Feminino;Divorciado;joserezende@example.com;+55 71 2419-0749;Pimenta das Pedras;MT;Citroen;C4 Grand Picasso;2016;Vermelho;160975.5;2024-09-04;Consórcio
9643;Ana Cecília Guerra;39;980.425.673-83;Feminino;Divorciado;fdias@example.net;(021) 4279-6838;Guerra dos Dourados;RR;Chevrolet;S-10;2016;Cinza;108918.71;2020-11-04;Financiamento
9644;Alícia Moura;51;941.723.580-04;Feminino;Viúvo;mariane03@example.net;+55 (081) 9682 4933;Ferreira;PB;Toyota;Etios;2015;Cinza;195830.57;2022-07-05;À vista
9645;Manuela Pires;24;840.273.196-13;Feminino;Solteiro;luiz-fernandoguerra@example.org;+55 11 4887-8146;Duarte de Minas;BA;Ford;Ka Sedan;2015;Cinza;101616.03;2025-01-06;Financiamento
9646;Ágatha da Cunha;27;785.694.312-28;Feminino;Viúvo;andradegabriel@example.com;+55 (071) 0682 2238;Rezende;AL;Peugeot;308;2019;Prata;79069.86;2019-06-02;Consórcio
9647;Diego Lopes;51;051.364.789-93;Masculino;Divorciado;augusto28@example.org;0300 550 9655;Pinto;AL;Peugeot;308;2016;Prata;229162.88;2021-12-09;Financiamento
9648;Allana Rezende;35;986.120.734-13;Feminino;Divorciado;omelo@example.org;51 4653 7373;Caldeira;PB;Volskwagen;Gol;2019;Vermelho;238567.44;2023-05-10;Financiamento
9649;Maria Luiza Carvalho;38;845.361.902-60;Feminino;Viúvo;henry-gabrielcavalcante@example.net;0800-500-5753;Viana;PA;Hyundai;HB20S;2014;Cinza;160763.03;2022-07-12;À vista
9650;Milena Martins;60;630.941.258-24;Feminino;Divorciado;thalespereira@example.net;(031) 8392-8141;Rodrigues;CE;Toyota;Corolla;2014;Prata;238363.18;2021-08-25;Consórcio
9651;Vinícius da Luz;21;729.418.603-04;Masculino;Casado;mda-luz@example.net;+55 (031) 1214-2495;Vasconcelos de Duarte;PA;Hyundai;HB20;2021;Prata;218464.76;2024-09-27;À vista
9652;Felipe Moraes;40;586.273.190-30;Masculino;Casado;rebecasilva@example.net;+55 (041) 3973 8740;Machado;SP;Volskwagen;Up;2014;Cinza;168362.77;2017-10-07;Financiamento
9653;Pietra Vargas;35;863.701.249-31;Feminino;Viúvo;lucas-gabriel35@example.com;+55 (031) 7366-8911;Abreu Alegre;MS;Toyota;Camry;2017;Preto;223333.6;2019-09-10;Consórcio
9654;João Guilherme Garcia;56;190.542.837-50;Masculino;Viúvo;rhavi33@example.org;+55 (011) 5192-8491;Leão Grande;MA;Peugeot;208;2013;Branco;154532.34;2022-06-12;À vista
9655;Erick Silva;27;597.308.612-77;Masculino;Divorciado;rrocha@example.net;41 5783-8911;Aparecida;RS;Ford;Focus;2020;Branco;111321.98;2020-02-05;Financiamento
9656;Lívia Aragão;26;210.579.643-52;Feminino;Solteiro;monteirolaura@example.org;(051) 6764 0820;Abreu da Mata;SC;Citroen;C4;2022;Vermelho;105639.87;2020-08-25;Consórcio
9657;Isabela Pereira;31;726.501.943-16;Feminino;Divorciado;esa@example.net;81 4446-0589;Dias;MS;Peugeot;208;2019;Prata;153417.25;2020-05-11;Financiamento
9658;Vicente Garcia;50;956.017.243-34;Masculino;Solteiro;rnogueira@example.org;71 2318-1289;Nogueira;DF;Fiat;Argo;2016;Prata;41332.68;2023-07-03;Financiamento
9659;Thomas Cirino;18;270.184.693-50;Masculino;Divorciado;macedoluna@example.org;11 6020-5528;Novaes;PE;Peugeot;3008;2023;Preto;199419.49;2022-01-06;Consórcio
9660;Aylla Sampaio;53;053.821.476-71;Feminino;Casado;ana-cecilia12@example.net;+55 (051) 1111-5794;Moraes de da Costa;ES;Peugeot;2008;2013;Vermelho;86966.21;2020-09-25;Consórcio
9661;Isabella da Conceição;33;241.786.905-58;Feminino;Casado;bellagomes@example.com;+55 (071) 9833 3003;Rios;RS;Citroen;Basalt;2023;Verde;79451.44;2020-11-10;À vista
9662;Bruna Aragão;50;751.392.480-50;Feminino;Solteiro;flopes@example.net;(061) 7240-5538;Pastor da Mata;ES;Honda;Fit;2021;Branco;189951.02;2022-06-30;Consórcio
9663;Brenda Brito;40;237.910.648-78;Feminino;Casado;camila90@example.com;(061) 4996-2801;Fernandes;PB;Volskwagen;T-Cross;2021;Cinza;116043.36;2017-07-16;Financiamento
9664;Nina Pacheco;26;651.034.892-60;Feminino;Casado;cassianomilena@example.org;+55 (041) 1848-6906;Vasconcelos;PE;Peugeot;3008;2017;Vermelho;178359.94;2024-03-01;Consórcio
9665;Theo Barbosa;19;562.047.819-01;Masculino;Divorciado;lucas65@example.com;+55 (081) 4253-3298;Caldeira;SC;Peugeot;Partner;2023;Azul;89787.61;2022-01-24;Financiamento
9666;Bella Fogaça;22;967.825.304-65;Feminino;Casado;leo75@example.net;11 0583-2267;Marques;PR;Ford;Ecosport;2020;Vermelho;90844.21;2025-01-11;À vista
9667;Alana Campos;33;201.859.437-05;Feminino;Divorciado;vargasgael-henrique@example.net;(084) 9656-7113;Fogaça;PE;Ford;Ecosport;2020;Vermelho;127441.95;2019-02-09;Consórcio
9668;Esther Freitas;33;501.946.387-66;Feminino;Viúvo;rhavimonteiro@example.com;+55 84 8179 2923;Peixoto Paulista;GO;Peugeot;308;2018;Preto;131637.49;2023-08-12;Consórcio
9669;Evelyn da Luz;70;142.037.658-62;Feminino;Divorciado;kamilly56@example.net;31 0955 2706;Machado das Pedras;AP;Hyundai;Tucson;2022;Cinza;159375.38;2024-05-13;Consórcio
9670;Hadassa Fogaça;66;038.297.165-59;Feminino;Divorciado;guilherme34@example.net;+55 (071) 0737-3544;da Mata;AP;Peugeot;3008;2019;Cinza;215977.89;2022-11-18;Leasing
9671;Arthur Gabriel Farias;45;824.136.059-24;Masculino;Viúvo;novaescalebe@example.net;+55 71 4720-4802;Aragão;SC;Toyota;Yaris;2019;Cinza;226400.16;2024-04-13;À vista
9672;Felipe Carvalho;22;730.491.258-88;Masculino;Divorciado;hda-cruz@example.org;+55 (081) 4626 0411;Fogaça;PI;Jeep;Renegade;2019;Verde;46664.49;2017-07-14;Financiamento
